Link_ID in VISSIM,Length(km),Green_ratio,Lanes
1,0.239,1.0,1
2,0.03,0.6,1
3,0.249,1.0,1
4,0.227,1.0,1
5,0.023,0.6,1
6,0.273,1.0,1
7,0.008,0.4,1
8,0.117,1.0,1
9,0.132,1.0,1
10,0.017,0.4,1
11,0.146,1.0,1
12,0.169,1.0,1
13,0.044,1.0,1
14,0.044,1.0,1
15,0.054,1.0,1
16,0.052,1.0,1
17,0.235,1.0,1
18,0.03,0.5,1
19,0.252,1.0,1
20,0.225,1.0,1
21,0.023,0.5,1
22,0.275,1.0,1
23,0.008,0.5,1
24,0.117,1.0,1
25,0.132,1.0,1
26,0.017,0.5,1
27,0.146,1.0,1
28,0.169,1.0,1
29,0.044,1.0,1
30,0.042,1.0,1
37,0.237,1.0,1
38,0.03,0.4,1
39,0.249,1.0,1
40,0.227,1.0,1
41,0.023,0.4,1
42,0.274,1.0,1
43,0.008,0.6,1
44,0.117,1.0,1
45,0.132,1.0,1
46,0.017,0.6,1
47,0.146,1.0,1
48,0.169,1.0,1
49,0.044,1.0,1
50,0.044,1.0,1
53,0.235,1.0,1
54,0.03,0.5,1
55,0.253,1.0,1
56,0.227,1.0,1
57,0.023,0.5,1
58,0.275,1.0,1
59,0.008,0.5,1
60,0.117,1.0,1
61,0.132,1.0,1
62,0.017,0.5,1
63,0.146,1.0,1
64,0.169,1.0,1
77,0.239,1.0,1
78,0.03,0.6,1
79,0.249,1.0,1
80,0.227,1.0,1
81,0.023,0.6,1
82,0.273,1.0,1
83,0.008,0.4,1
84,0.117,1.0,1
85,0.132,1.0,1
86,0.017,0.4,1
87,0.146,1.0,1
88,0.169,1.0,1
89,0.044,1.0,1
90,0.044,1.0,1
91,0.054,1.0,1
92,0.052,1.0,1
93,0.235,1.0,1
94,0.03,0.5,1
95,0.252,1.0,1
96,0.225,1.0,1
97,0.023,0.5,1
98,0.275,1.0,1
99,0.008,0.5,1
100,0.117,1.0,1
101,0.132,1.0,1
102,0.017,0.5,1
103,0.146,1.0,1
104,0.169,1.0,1
113,0.237,1.0,1
114,0.03,0.4,1
115,0.249,1.0,1
116,0.227,1.0,1
117,0.023,0.4,1
118,0.274,1.0,1
119,0.008,0.6,1
120,0.117,1.0,1
121,0.132,1.0,1
122,0.017,0.6,1
123,0.146,1.0,1
124,0.169,1.0,1
125,0.044,1.0,1
126,0.044,1.0,1
129,0.235,1.0,1
130,0.03,0.5,1
131,0.253,1.0,1
132,0.227,1.0,1
133,0.023,0.5,1
134,0.275,1.0,1
135,0.008,0.5,1
136,0.117,1.0,1
137,0.132,1.0,1
138,0.017,0.5,1
139,0.146,1.0,1
140,0.169,1.0,1
163,0.239,1.0,1
164,0.03,0.6,1
165,0.249,1.0,1
166,0.227,1.0,1
167,0.023,0.6,1
168,0.273,1.0,1
169,0.008,0.4,1
170,0.117,1.0,1
171,0.135,1.0,1
172,0.017,0.4,1
173,0.146,1.0,1
174,0.169,1.0,1
175,0.044,1.0,1
176,0.044,1.0,1
177,0.054,1.0,1
178,0.052,1.0,1
179,0.235,1.0,1
180,0.03,0.5,1
181,0.252,1.0,1
182,0.225,1.0,1
183,0.023,0.5,1
184,0.275,1.0,1
185,0.008,0.5,1
186,0.12,1.0,1
187,0.137,1.0,1
188,0.017,0.5,1
189,0.146,1.0,1
190,0.169,1.0,1
191,0.044,1.0,1
192,0.042,1.0,1
199,0.237,1.0,1
200,0.03,0.4,1
201,0.249,1.0,1
202,0.227,1.0,1
203,0.023,0.4,1
204,0.274,1.0,1
205,0.008,0.6,1
206,0.122,1.0,1
207,0.137,1.0,1
208,0.017,0.6,1
209,0.146,1.0,1
210,0.169,1.0,1
211,0.044,1.0,1
212,0.044,1.0,1
215,0.235,1.0,1
216,0.03,0.5,1
217,0.253,1.0,1
218,0.227,1.0,1
219,0.023,0.5,1
220,0.275,1.0,1
221,0.008,0.5,1
222,0.118,1.0,1
223,0.138,1.0,1
224,0.017,0.5,1
225,0.146,1.0,1
226,0.169,1.0,1
239,0.239,1.0,1
240,0.03,0.6,1
241,0.249,1.0,1
242,0.227,1.0,1
243,0.023,0.6,1
244,0.273,1.0,1
245,0.008,0.4,1
246,0.117,1.0,1
247,0.132,1.0,1
248,0.017,0.4,1
249,0.146,1.0,1
250,0.169,1.0,1
251,0.044,1.0,1
252,0.044,1.0,1
253,0.054,1.0,1
254,0.052,1.0,1
255,0.235,1.0,1
256,0.03,0.5,1
257,0.252,1.0,1
258,0.225,1.0,1
259,0.023,0.5,1
260,0.275,1.0,1
261,0.008,0.5,1
262,0.117,1.0,1
263,0.132,1.0,1
264,0.017,0.5,1
265,0.146,1.0,1
266,0.169,1.0,1
275,0.237,1.0,1
276,0.03,0.4,1
277,0.249,1.0,1
278,0.227,1.0,1
279,0.023,0.4,1
280,0.274,1.0,1
281,0.008,0.6,1
282,0.117,1.0,1
283,0.132,1.0,1
284,0.017,0.6,1
285,0.146,1.0,1
286,0.169,1.0,1
287,0.044,1.0,1
288,0.044,1.0,1
291,0.235,1.0,1
292,0.03,0.5,1
293,0.253,1.0,1
294,0.227,1.0,1
295,0.023,0.5,1
296,0.275,1.0,1
297,0.008,0.5,1
298,0.117,1.0,1
299,0.132,1.0,1
300,0.017,0.5,1
301,0.146,1.0,1
302,0.169,1.0,1
10000,0.007,1.0,1
10001,0.005,1.0,1
10002,0.01,1.0,1
10003,0.007,1.0,1
10004,0.012,1.0,1
10005,0.006,1.0,1
10006,0.013,1.0,1
10007,0.012,1.0,1
10008,0.012,1.0,1
10009,0.006,1.0,1
10010,0.012,1.0,1
10011,0.011,1.0,1
10012,0.005,1.0,1
10013,0.012,1.0,1
10014,0.005,1.0,1
10015,0.012,1.0,1
10016,0.007,1.0,1
10017,0.005,1.0,1
10018,0.01,1.0,1
10019,0.007,1.0,1
10020,0.012,1.0,1
10021,0.006,1.0,1
10022,0.013,1.0,1
10023,0.012,1.0,1
10024,0.012,1.0,1
10025,0.006,1.0,1
10026,0.012,1.0,1
