Index,"Common node ID,(named swift nodes in GAMS codes)"
0,2
1,3
2,6
3,7
4,8
5,12
6,15
7,18
8,20
9,22
10,27
11,30
12,31
13,32
14,33
15,36
16,37
17,38
18,39
19,42
20,43
21,46
22,49
23,51
24,53
25,55
26,56
27,58
28,59
29,62
30,63
31,64
32,67
33,68
34,71
35,74
36,76
37,77
38,79
39,84
40,85
41,86
42,91
43,92
44,95
45,96
46,99
47,102
48,104
49,106
50,108
51,109
52,112
53,113
54,114
55,118
56,120
57,122
58,123
59,125
60,127
61,132
62,135
63,136
64,137
65,138
66,141
67,142
68,143
69,144
70,147
71,148
72,150
73,152
74,153
75,155
76,157
77,158
78,159
79,162
80,163
81,164
82,167
83,168
84,170
85,172
86,173
87,175
88,177
89,182
90,183
91,184
92,189
93,190
94,193
95,194
96,196
97,198
98,199
99,201
100,203
101,205
102,206
103,209
104,210
105,211
106,215
107,217
108,219
109,220
110,222
111,224
112,229
113,232
114,233
115,234
116,235
117,238
118,239
119,240
120,241
121,244
122,245
123,247
124,249
125,250
126,252
127,254
128,256
129,257
130,259
131,260
132,263
133,264
134,265
135,268
136,269
137,271
138,273
139,274
140,276
141,277
142,279
143,284
144,285
145,286
146,291
147,292
148,295
149,296
150,298
151,300
152,301
153,303
154,305
155,307
156,308
157,311
158,312
159,313
160,317
161,319
162,321
163,322
164,325
165,332
166,335
167,336
168,337
169,338
170,341
171,342
172,343
173,344
174,347
175,348
176,350
177,352
178,353
179,356
180,359
181,360
182,363
183,364
184,365
185,368
186,369
187,371
188,373
189,374
190,377
191,384
192,385
193,386
194,391
195,392
196,395
197,396
198,398
199,400
200,401
201,404
