Index,Origin node ID
0,4
1,9
2,13
3,19
4,34
5,40
6,44
7,50
8,60
9,65
10,69
11,75
12,87
13,93
14,97
15,103
16,110
17,115
18,119
19,124
20,139
21,145
22,149
23,154
24,160
25,165
26,169
27,174
28,185
29,191
30,195
31,200
32,207
33,212
34,216
35,221
36,236
37,242
38,246
39,251
40,261
41,266
42,270
43,275
44,287
45,293
46,297
47,302
48,309
49,314
50,318
51,323
52,339
53,345
54,349
55,354
56,361
57,366
58,370
59,375
60,387
61,393
62,397
63,402
