Link_ID in VISSIM,Starting node ID,Ending node ID
1,1,2
2,3,4
3,5,6
4,42,7
5,8,9
6,10,11
7,12,13
8,14,15
9,16,17
10,18,19
11,122,20
12,21,22
13,23,24
14,25,26
15,27,28
16,29,30
17,31,32
18,33,34
19,35,36
20,37,38
21,39,40
22,41,42
23,43,44
24,45,46
25,47,48
26,49,50
27,152,51
28,52,53
29,54,55
30,56,57
37,36,58
38,59,60
39,61,62
40,95,63
41,64,65
42,66,67
43,68,69
44,70,71
45,72,73
46,74,75
47,76,77
48,78,79
49,80,81
50,82,83
53,84,85
54,86,87
55,88,89
56,90,91
57,92,93
58,94,95
59,96,97
60,98,99
61,100,101
62,102,103
63,198,104
64,105,106
77,107,108
78,109,110
79,111,112
80,147,113
81,114,115
82,116,117
83,118,119
84,22,120
85,121,122
86,123,124
87,219,125
88,126,127
89,128,129
90,130,131
91,132,133
92,134,135
93,136,137
94,138,139
95,140,141
96,142,143
97,144,145
98,146,147
99,148,149
100,53,150
101,151,152
102,153,154
103,249,155
104,156,157
113,141,158
114,159,160
115,161,162
116,193,163
117,164,165
118,166,167
119,168,169
120,79,170
121,171,172
122,173,174
123,273,175
124,176,177
125,178,179
126,180,181
129,182,183
130,184,185
131,186,187
132,188,189
133,190,191
134,192,193
135,194,195
136,106,196
137,197,198
138,199,200
139,300,201
140,202,203
163,204,205
164,206,207
165,208,209
166,244,210
167,211,212
168,213,214
169,215,216
170,127,217
171,218,219
172,220,221
173,321,222
174,223,224
175,225,226
176,227,228
177,229,230
178,231,232
179,233,234
180,235,236
181,237,238
182,239,240
183,241,242
184,243,244
185,245,246
186,157,247
187,248,249
188,250,251
189,352,252
190,253,254
191,255,256
192,257,258
199,238,259
200,260,261
201,262,263
202,295,264
203,265,266
204,267,268
205,269,270
206,177,271
207,272,273
208,274,275
209,276,277
210,278,279
211,280,281
212,282,283
215,284,285
216,286,287
217,288,289
218,290,291
219,292,293
220,294,295
221,296,297
222,203,298
223,299,300
224,301,302
225,400,303
226,304,305
239,306,307
240,308,309
241,310,311
242,347,312
243,313,314
244,315,316
245,317,318
246,224,319
247,320,321
248,322,323
249,324,325
250,326,327
251,328,329
252,330,331
253,332,333
254,334,335
255,336,337
256,338,339
257,340,341
258,342,343
259,344,345
260,346,347
261,348,349
262,254,350
263,351,352
264,353,354
265,355,356
266,357,358
275,341,359
276,360,361
277,362,363
278,395,364
279,365,366
280,367,368
281,369,370
282,279,371
283,372,373
284,374,375
285,376,377
286,378,379
287,380,381
288,382,383
291,384,385
292,386,387
293,388,389
294,390,391
295,392,393
296,394,395
297,396,397
298,305,398
299,399,400
300,401,402
301,403,404
302,405,406
