Index,"Common node ID,(named swift nodes in GAMS codes)"
0,2
1,3
2,10
3,11
4,14
5,16
6,17
7,18
8,23
9,25
10,27
11,28
12,32
13,33
14,40
15,41
16,42
17,47
18,49
19,50
20,53
21,55
22,56
23,61
24,63
25,64
26,65
27,73
28,75
29,76
30,78
31,84
32,86
33,89
34,90
35,93
36,95
37,96
38,103
39,105
40,108
41,110
42,111
43,112
44,117
45,119
46,120
47,121
48,125
49,126
50,132
51,133
52,134
53,139
54,141
55,142
56,145
57,147
58,148
59,153
60,155
61,156
62,157
63,162
64,167
65,169
66,173
67,174
68,177
69,179
70,229
71,230
72,235
73,239
74,242
75,244
76,245
77,246
78,251
79,253
80,255
81,256
82,260
83,261
84,268
85,269
86,270
87,275
88,277
89,278
90,281
91,283
92,284
93,285
94,290
95,292
96,293
97,294
98,302
99,304
100,305
101,307
102,313
103,315
104,318
105,319
106,322
107,323
108,324
109,329
110,331
111,333
112,336
113,338
114,339
115,340
116,345
117,347
118,348
119,349
120,353
121,354
122,360
123,361
124,362
125,367
126,369
127,370
128,373
129,375
130,376
131,377
132,382
133,384
134,385
135,386
136,391
137,396
138,398
139,400
140,401
141,402
142,405
143,407
144,409
145,410
146,411
147,416
148,418
149,419
150,422
151,424
152,425
153,430
154,432
155,433
156,434
157,438
158,443
159,444
160,447
161,450
162,453
163,456
164,462
165,465
166,467
167,468
168,475
169,476
170,479
171,481
172,482
173,483
174,488
175,490
176,492
177,493
178,497
179,498
180,505
181,506
182,507
183,512
184,514
185,515
186,518
187,520
188,521
189,522
190,527
191,529
192,530
193,531
194,539
195,541
196,542
197,544
198,550
199,552
200,555
201,556
202,559
203,561
204,562
205,569
206,571
207,574
208,576
209,577
210,578
211,583
212,587
213,588
214,592
215,593
216,599
217,600
218,601
219,606
220,608
221,609
222,612
223,614
224,615
225,620
226,624
227,625
228,630
229,635
230,637
231,641
232,642
233,645
234,647
235,649
236,650
237,651
238,656
239,658
240,659
241,662
242,664
243,665
244,666
245,671
246,673
247,675
248,676
249,680
250,681
251,688
252,689
253,690
254,695
255,697
256,698
257,701
258,703
259,704
260,705
261,710
262,712
263,713
264,714
265,722
266,724
267,725
268,727
269,733
270,735
271,738
272,739
273,742
274,743
275,744
276,749
277,751
278,753
279,756
280,758
281,759
282,760
283,765
284,769
285,770
286,774
287,775
288,781
289,782
290,783
291,788
292,790
293,791
294,794
295,796
296,797
297,798
298,803
299,807
300,808
301,813
302,818
303,820
304,822
305,823
306,824
307,827
308,829
309,831
310,832
311,833
312,838
313,840
314,841
315,844
316,846
317,847
318,852
319,856
320,857
321,861
322,866
323,867
324,870
325,873
326,876
327,879
328,885
329,888
330,889
331,890
332,891
333,896
334,898
335,899
336,902
337,904
338,905
339,910
340,914
341,915
342,919
343,924
344,925
345,926
346,931
347,933
348,934
349,937
350,939
351,940
352,945
353,947
354,948
355,949
356,953
357,958
358,959
359,960
360,965
361,967
362,968
363,971
364,973
365,974
366,979
367,981
368,982
369,983
370,987
371,992
372,993
373,994
374,999
375,1001
376,1002
377,1003
378,1006
379,1008
380,1009
381,1014
382,1016
383,1017
384,1018
385,1022
386,1027
387,1028
388,1029
389,1034
390,1036
391,1037
392,1040
393,1042
394,1043
395,1048
396,1052
397,1053
398,1057
399,1062
400,1063
401,1068
402,1072
403,1075
404,1077
405,1078
406,1083
407,1087
408,1088
409,1092
410,1093
411,1094
412,1099
413,1103
414,1106
415,1108
416,1109
417,1110
418,1115
419,1117
420,1119
421,1120
422,1124
423,1125
424,1132
425,1133
426,1134
427,1139
428,1141
429,1142
430,1145
431,1147
432,1148
433,1153
434,1155
435,1156
436,1157
437,1165
438,1167
439,1168
440,1170
441,1176
442,1178
443,1181
444,1182
445,1185
446,1186
447,1187
448,1188
449,1193
450,1195
451,1197
452,1200
453,1202
454,1203
455,1204
456,1209
457,1211
458,1212
459,1213
460,1217
461,1218
462,1224
463,1225
464,1226
465,1231
466,1233
467,1234
468,1237
469,1239
470,1240
471,1245
472,1247
473,1248
474,1249
475,1254
476,1259
477,1261
478,1265
479,1266
480,1269
481,1271
482,1281
483,1282
484,1287
485,1289
486,1290
487,1293
488,1295
489,1296
490,1297
491,1302
492,1304
493,1306
494,1307
495,1311
496,1312
497,1319
498,1320
499,1321
500,1326
501,1328
502,1329
503,1332
504,1335
505,1336
506,1343
507,1344
508,1345
509,1353
510,1355
511,1356
512,1358
513,1364
514,1366
515,1369
516,1370
517,1373
518,1374
519,1375
520,1380
521,1382
522,1384
523,1387
524,1389
525,1390
526,1391
527,1396
528,1398
529,1399
530,1400
531,1404
532,1405
533,1411
534,1412
535,1413
536,1418
