Index,Signal control node ID
0,4
1,6
2,13
3,15
4,19
5,21
6,29
7,31
8,43
9,45
10,52
11,54
12,57
13,59
14,66
15,68
16,77
17,79
18,85
19,87
20,91
21,97
22,99
23,107
24,109
25,113
26,115
27,122
28,124
29,135
30,137
31,144
32,146
33,149
34,151
35,158
36,160
37,168
38,170
39,175
40,231
41,233
42,241
43,243
44,247
45,249
46,257
47,259
48,271
49,273
50,280
51,282
52,286
53,288
54,295
55,297
56,306
57,308
58,314
59,316
60,320
61,325
62,327
63,335
64,337
65,341
66,343
67,350
68,352
69,363
70,365
71,372
72,374
73,378
74,380
75,387
76,389
77,397
78,399
79,403
80,412
81,414
82,421
83,423
84,426
85,428
86,435
87,437
88,445
89,449
90,451
91,457
92,459
93,463
94,469
95,471
96,478
97,480
98,484
99,486
100,494
101,496
102,508
103,510
104,517
105,519
106,523
107,525
108,532
109,534
110,543
111,545
112,551
113,553
114,557
115,563
116,565
117,573
118,575
119,579
120,581
121,589
122,591
123,602
124,604
125,611
126,613
127,616
128,618
129,626
130,628
131,636
132,638
133,643
134,652
135,654
136,661
137,663
138,667
139,669
140,677
141,679
142,691
143,693
144,700
145,702
146,706
147,708
148,715
149,717
150,726
151,728
152,734
153,736
154,740
155,745
156,747
157,755
158,757
159,761
160,763
161,771
162,773
163,784
164,786
165,793
166,795
167,799
168,801
169,809
170,811
171,819
172,821
173,825
174,834
175,836
176,843
177,845
178,848
179,850
180,858
181,860
182,868
183,872
184,874
185,880
186,882
187,886
188,892
189,894
190,901
191,903
192,906
193,908
194,916
195,918
196,927
197,929
198,936
199,938
200,941
201,943
202,950
203,952
204,961
205,963
206,970
207,972
208,975
209,977
210,984
211,986
212,995
213,997
214,1005
215,1007
216,1010
217,1012
218,1019
219,1021
220,1030
221,1032
222,1039
223,1041
224,1044
225,1046
226,1054
227,1056
228,1064
229,1066
230,1074
231,1076
232,1079
233,1081
234,1089
235,1091
236,1095
237,1097
238,1105
239,1107
240,1111
241,1113
242,1121
243,1123
244,1135
245,1137
246,1144
247,1146
