Link_ID in VISSIM,Starting node ID,Ending node ID
10000,2,3
10001,2,5
10002,11,14
10003,11,12
10004,17,20
10005,17,18
10006,27,28
10007,27,30
10008,29,9
10009,29,7
10010,31,22
10011,6,24
10012,4,9
10013,4,22
10014,13,7
10015,15,24
10016,15,22
10017,21,9
10018,19,7
10019,19,24
10020,41,42
10021,41,44
10022,50,53
10023,50,51
10024,55,58
10025,55,56
10026,64,65
10027,64,67
10028,66,48
10029,66,46
10030,68,60
10031,45,62
10032,43,48
10033,43,60
10034,52,46
10035,54,62
10036,54,60
10037,59,48
10038,57,46
10039,57,62
10040,33,40
10041,35,40
10042,33,36
10043,47,16
10044,23,32
10045,39,32
10046,23,69
10047,47,72
10048,71,16
10049,95,96
10050,95,98
10051,105,108
10052,105,106
10053,111,114
10054,111,112
10055,120,121
10056,120,123
10057,122,102
10058,122,100
10059,124,116
10060,99,118
10061,97,102
10062,97,116
10063,107,100
10064,109,118
10065,109,116
10066,115,102
10067,113,100
10068,113,118
10069,133,134
10070,133,136
10071,142,145
10072,142,143
10073,147,150
10074,147,148
10075,156,157
10076,156,159
10077,158,140
10078,158,138
10079,160,152
10080,137,154
10081,135,140
10082,135,152
10083,144,138
10084,146,154
10085,146,152
10086,151,140
10087,149,138
10088,149,154
10089,126,132
10090,128,132
10091,126,129
10092,139,110
10093,117,125
10094,131,125
10095,117,161
10096,139,165
10097,164,110
10098,25,167
10099,103,169
10100,77,26
10101,168,104
10104,162,78
10107,73,84
10108,77,92
10109,91,74
10110,79,82
10111,85,80
10112,89,90
10113,93,86
10114,87,82
10115,85,88
10116,79,88
10117,87,80
10118,91,104
10119,170,26
10120,77,104
10121,170,74
10122,91,26
10123,168,74
10124,168,92
10126,173,76
10127,175,88
10128,87,178
10129,85,178
10130,175,80
10131,175,82
10132,79,178
10133,177,174
10135,170,92
10136,229,230
10137,229,232
10138,239,242
10139,239,240
10140,245,248
10141,245,246
10142,255,256
10143,255,258
10144,257,236
10145,257,234
10146,259,250
10147,233,252
10148,231,236
10149,231,250
10150,241,234
10151,243,252
10152,243,250
10153,249,236
10154,247,234
10155,247,252
10156,269,270
10157,269,272
10158,278,281
10159,278,279
10160,284,287
10161,284,285
10162,293,294
10163,293,296
10164,295,276
10165,295,274
10166,297,289
10167,273,291
10168,271,276
10169,271,289
10170,280,274
10171,282,291
10172,282,289
10173,288,276
10174,286,274
10175,286,291
10176,261,268
10177,263,268
10178,261,264
10179,275,244
10180,251,260
10181,267,260
10182,251,298
10183,275,301
10184,300,244
10185,323,324
10186,323,326
10187,333,336
10188,333,334
10189,339,342
10190,339,340
10191,348,349
10192,348,351
10193,350,330
10194,350,328
10195,352,344
10196,327,346
10197,325,330
10198,325,344
10199,335,328
10200,337,346
10201,337,344
10202,343,330
10203,341,328
10204,341,346
10205,361,362
10206,361,364
10207,370,373
10208,370,371
10209,376,379
10210,376,377
10211,385,386
10212,385,388
10213,387,368
10214,387,366
10215,389,381
10216,365,383
10217,363,368
10218,363,381
10219,372,366
10220,374,383
10221,374,381
10222,380,368
10223,378,366
10224,378,383
10225,354,360
10226,356,360
10227,354,357
10228,367,338
10229,345,353
10230,359,353
10231,345,390
10232,367,394
10233,393,338
10234,253,396
10235,331,398
10236,306,254
10237,397,332
10240,391,307
10243,302,313
10244,306,321
10245,320,303
10246,308,311
10247,314,309
10248,318,319
10249,322,315
10250,316,311
10251,314,317
10252,308,317
10253,316,309
10254,320,332
10255,399,254
10256,306,332
10257,399,303
10258,320,254
10259,397,303
10260,397,321
10262,401,305
10263,403,317
10264,316,406
10265,314,406
10266,403,309
10267,403,311
10268,308,406
10269,405,402
10271,399,321
10278,527,181
10279,184,649
10280,188,520
10281,656,185
10283,1618,796
10284,803,1611
10285,1524,703
10286,710,1517
10287,1963,1002
10288,1001,1964
10289,1193,375
10290,382,1186
10291,1099,283
10292,290,1092
10293,190,1611
10294,803,191
10295,194,796
10296,1618,195
10297,200,703
10298,1524,197
10299,410,411
10300,410,413
10301,419,420
10302,419,422
10303,424,427
10304,424,425
10305,435,417
10306,414,431
10307,433,434
10308,435,415
10309,437,429
10310,433,436
10311,412,417
10312,412,429
10313,421,415
10314,428,417
10315,423,429
10316,423,431
10317,426,415
10318,426,431
10319,438,409
10320,440,409
10321,438,441
10324,710,203
10325,202,1517
10326,208,1002
10327,1963,205
10328,1001,211
10329,210,1964
10330,382,215
10331,214,1186
10334,400,462
10361,1193,219
10362,218,375
10363,290,223
10364,222,1092
10365,226,283
10366,1099,227
10654,443,450
10655,443,444
10656,447,456
10657,447,448
10658,457,452
10659,449,460
10660,451,454
10661,445,464
10775,459,454
10777,451,460
10778,459,452
10788,463,460
10789,459,464
10790,457,464
10791,463,452
10792,463,454
10793,467,468
10794,467,470
10795,476,479
10796,476,477
10797,482,485
10798,482,483
10799,492,493
10800,492,495
10801,494,474
10802,494,472
10803,496,487
10804,471,489
10805,469,474
10806,469,487
10807,478,472
10808,480,489
10809,480,487
10810,486,474
10811,484,472
10812,484,489
10813,506,507
10814,506,509
10815,515,518
10816,515,516
10817,521,524
10818,521,522
10819,530,531
10820,530,533
10821,532,513
10822,532,511
10823,534,526
10824,510,528
10825,508,513
10826,508,526
10827,517,511
10828,519,528
10829,519,526
10830,525,513
10831,523,511
10832,523,528
10833,498,505
10834,500,505
10835,498,501
10836,512,481
10837,488,497
10838,504,497
10839,488,535
10840,512,538
10841,537,481
10842,561,562
10843,561,564
10844,571,574
10845,571,572
10846,577,580
10847,577,578
10848,587,588
10849,587,590
10850,589,568
10851,589,566
10852,591,582
10853,565,584
10854,563,568
10855,563,582
10856,573,566
10857,575,584
10858,575,582
10859,581,568
10860,579,566
10861,579,584
10862,600,601
10863,600,603
10864,609,612
10865,609,610
10866,614,617
10867,614,615
10868,624,625
10869,624,627
10870,626,607
10871,626,605
10872,628,619
10873,604,621
10874,602,607
10875,602,619
10876,611,605
10877,613,621
10878,613,619
10879,618,607
10880,616,605
10881,616,621
10882,593,599
10883,595,599
10884,593,596
10885,606,576
10886,583,592
10887,598,592
10888,583,629
10889,606,633
10890,632,576
10891,490,635
10892,569,637
10893,543,491
10894,636,570
10897,630,544
10900,539,550
10901,543,558
10902,557,540
10903,545,548
10904,551,546
10905,555,556
10906,559,552
10907,553,548
10908,551,554
10909,545,554
10910,553,546
10911,557,570
10912,638,491
10913,543,570
10914,638,540
10915,557,491
10916,636,540
10917,636,558
10919,641,542
10920,643,554
10921,553,646
10922,551,646
10923,643,546
10924,643,548
10925,545,646
10926,645,642
10928,638,558
10929,650,651
10930,650,653
10931,659,662
10932,659,660
10933,665,668
10934,665,666
10935,675,676
10936,675,678
10937,677,657
10938,677,655
10939,679,670
10940,654,672
10941,652,657
10942,652,670
10943,661,655
10944,663,672
10945,663,670
10946,669,657
10947,667,655
10948,667,672
10949,689,690
10950,689,692
10951,698,701
10952,698,699
10953,704,707
10954,704,705
10955,713,714
10956,713,716
10957,715,696
10958,715,694
10959,717,709
10960,693,711
10961,691,696
10962,691,709
10963,700,694
10964,702,711
10965,702,709
10966,708,696
10967,706,694
10968,706,711
10969,681,688
10970,683,688
10971,681,684
10972,695,664
10973,671,680
10974,687,680
10975,671,718
10976,695,721
10977,720,664
10978,743,744
10979,743,746
10980,753,756
10981,753,754
10982,759,762
10983,759,760
10984,769,770
10985,769,772
10986,771,750
10987,771,748
10988,773,764
10989,747,766
10990,745,750
10991,745,764
10992,755,748
10993,757,766
10994,757,764
10995,763,750
10996,761,748
10997,761,766
10998,782,783
10999,782,785
11000,791,794
11001,791,792
11002,797,800
11003,797,798
11004,807,808
11005,807,810
11006,809,789
11007,809,787
11008,811,802
11009,786,804
11010,784,789
11011,784,802
11012,793,787
11013,795,804
11014,795,802
11015,801,789
11016,799,787
11017,799,804
11018,775,781
11019,777,781
11020,775,778
11021,788,758
11022,765,774
11023,780,774
11024,765,812
11025,788,816
11026,815,758
11027,673,818
11028,751,820
11029,726,674
11030,819,752
11033,813,727
11036,722,733
11037,726,741
11038,740,723
11039,728,731
11040,734,729
11041,738,739
11042,742,735
11043,736,731
11044,734,737
11045,728,737
11046,736,729
11047,740,752
11048,821,674
11049,726,752
11050,821,723
11051,740,674
11052,819,723
11053,819,741
11055,823,725
11056,825,737
11057,736,828
11058,734,828
11059,825,729
11060,825,731
11061,728,828
11062,827,824
11064,821,741
11067,656,520
11068,527,649
11092,832,833
11093,832,835
11094,841,842
11095,841,844
11096,846,849
11097,846,847
11098,858,839
11099,836,853
11100,856,857
11101,858,837
11102,860,851
11103,856,859
11104,834,839
11105,834,851
11106,843,837
11107,850,839
11108,845,851
11109,845,853
11110,848,837
11111,848,853
11112,861,831
11113,863,831
11114,861,864
11127,822,885
11447,866,873
11448,866,867
11449,870,879
11450,870,871
11451,880,875
11452,872,883
11453,874,877
11454,868,887
11568,882,877
11570,874,883
11571,882,875
11581,886,883
11582,882,887
11583,880,887
11584,886,875
11585,886,877
11724,890,891
11725,890,893
11726,899,902
11727,899,900
11728,904,907
11729,904,905
11730,914,915
11731,914,917
11732,916,897
11733,916,895
11734,918,909
11735,894,911
11736,892,897
11737,892,909
11738,901,895
11739,903,911
11740,903,909
11741,908,897
11742,906,895
11743,906,911
11744,919,889
11745,921,889
11746,919,922
11747,925,926
11748,925,928
11749,934,937
11750,934,935
11751,939,942
11752,939,940
11753,948,949
11754,948,951
11755,950,932
11756,950,930
11757,952,944
11758,929,946
11759,927,932
11760,927,944
11761,936,930
11762,938,946
11763,938,944
11764,943,932
11765,941,930
11766,941,946
11767,953,924
11768,955,924
11769,953,956
11770,959,960
11771,959,962
11772,968,971
11773,968,969
11774,973,976
11775,973,974
11776,982,983
11777,982,985
11778,984,966
11779,984,964
11780,986,978
11781,963,980
11782,961,966
11783,961,978
11784,970,964
11785,972,980
11786,972,978
11787,977,966
11788,975,964
11789,975,980
11790,987,958
11791,989,958
11792,987,990
11793,993,994
11794,993,996
11795,1003,1006
11796,1003,1004
11797,1008,1011
11798,1008,1009
11799,1017,1018
11800,1017,1020
11801,1019,1000
11802,1019,998
11803,1021,1013
11804,997,1015
11805,995,1000
11806,995,1013
11807,1005,998
11808,1007,1015
11809,1007,1013
11810,1012,1000
11811,1010,998
11812,1010,1015
11813,1022,992
11814,1024,992
11815,1022,1025
11816,1028,1029
11817,1028,1031
11818,1037,1038
11819,1037,1040
11820,1042,1045
11821,1042,1043
11822,1054,1035
11823,1032,1049
11824,1052,1053
11825,1054,1033
11826,1056,1047
11827,1052,1055
11828,1030,1035
11829,1030,1047
11830,1039,1033
11831,1046,1035
11832,1041,1047
11833,1041,1049
11834,1044,1033
11835,1044,1049
11836,1057,1027
11837,1059,1027
11838,1057,1060
11839,1062,1063
11840,1062,1065
11841,1072,1073
11842,1072,1075
11843,1077,1080
11844,1077,1078
11845,1089,1069
11846,1066,1084
11847,1087,1088
11848,1089,1067
11849,1091,1082
11850,1087,1090
11851,1064,1069
11852,1064,1082
11853,1074,1067
11854,1081,1069
11855,1076,1082
11856,1076,1084
11857,1079,1067
11858,1079,1084
11859,1093,1094
11860,1093,1096
11861,1103,1106
11862,1103,1104
11863,1109,1112
11864,1109,1110
11865,1119,1120
11866,1119,1122
11867,1121,1100
11868,1121,1098
11869,1123,1114
11870,1097,1116
11871,1095,1100
11872,1095,1114
11873,1105,1098
11874,1107,1116
11875,1107,1114
11876,1113,1100
11877,1111,1098
11878,1111,1116
11879,1133,1134
11880,1133,1136
11881,1142,1145
11882,1142,1143
11883,1147,1150
11884,1147,1148
11885,1156,1157
11886,1156,1159
11887,1158,1140
11888,1158,1138
11889,1160,1152
11890,1137,1154
11891,1135,1140
11892,1135,1152
11893,1144,1138
11894,1146,1154
11895,1146,1152
11896,1151,1140
11897,1149,1138
11898,1149,1154
11899,1125,1132
11900,1127,1132
11901,1125,1128
11902,1139,1108
11903,1115,1124
11904,1131,1124
11905,1115,1161
11906,1139,1164
11907,1163,1108
11908,1187,1188
11909,1187,1190
11910,1197,1200
11911,1197,1198
11912,1203,1206
11913,1203,1204
11914,1212,1213
11915,1212,1215
11916,1214,1194
11917,1214,1192
11918,1216,1208
11919,1191,1210
11920,1189,1194
11921,1189,1208
11922,1199,1192
11923,1201,1210
11924,1201,1208
11925,1207,1194
11926,1205,1192
11927,1205,1210
11928,1225,1226
11929,1225,1228
11930,1234,1237
11931,1234,1235
11932,1239,1242
11933,1239,1240
11934,1248,1249
11935,1248,1251
11936,1250,1232
11937,1250,1230
11938,1252,1244
11939,1229,1246
11940,1227,1232
11941,1227,1244
11942,1236,1230
11943,1238,1246
11944,1238,1244
11945,1243,1232
11946,1241,1230
11947,1241,1246
11948,1218,1224
11949,1220,1224
11950,1218,1221
11951,1231,1202
11952,1209,1217
11953,1223,1217
11954,1209,1253
11955,1231,1257
11956,1256,1202
11957,1117,1259
11958,1195,1261
11959,1169,1118
11960,1260,1196
11963,1254,1170
11966,1165,1176
11967,1169,1184
11968,1183,1166
11969,1171,1174
11970,1177,1172
11971,1181,1182
11972,1185,1178
11973,1179,1174
11974,1177,1180
11975,1171,1180
11976,1179,1172
11977,1183,1196
11978,1262,1118
11979,1169,1196
11980,1262,1166
11981,1183,1118
11982,1260,1166
11983,1260,1184
11985,1265,1168
11986,1267,1180
11987,1179,1270
11988,1177,1270
11989,1267,1172
11990,1267,1174
11991,1171,1270
11992,1269,1266
11994,1262,1184
11995,1281,1282
11996,1281,1284
11997,1290,1293
11998,1290,1291
11999,1296,1299
12000,1296,1297
12001,1306,1307
12002,1306,1309
12003,1308,1288
12004,1308,1286
12005,1310,1301
12006,1285,1303
12007,1283,1288
12008,1283,1301
12009,1292,1286
12010,1294,1303
12011,1294,1301
12012,1300,1288
12013,1298,1286
12014,1298,1303
12015,1320,1321
12016,1320,1323
12017,1329,1332
12018,1329,1330
12019,1335,1338
12020,1335,1336
12021,1344,1345
12022,1344,1347
12023,1346,1327
12024,1346,1325
12025,1348,1340
12026,1324,1342
12027,1322,1327
12028,1322,1340
12029,1331,1325
12030,1333,1342
12031,1333,1340
12032,1339,1327
12033,1337,1325
12034,1337,1342
12035,1312,1319
12036,1314,1319
12037,1312,1315
12038,1326,1295
12039,1302,1311
12040,1318,1311
12041,1302,1349
12042,1326,1352
12043,1351,1295
12044,1374,1375
12045,1374,1377
12046,1384,1387
12047,1384,1385
12048,1390,1393
12049,1390,1391
12050,1399,1400
12051,1399,1402
12052,1401,1381
12053,1401,1379
12054,1403,1395
12055,1378,1397
12056,1376,1381
12057,1376,1395
12058,1386,1379
12059,1388,1397
12060,1388,1395
12061,1394,1381
12062,1392,1379
12063,1392,1397
12064,1412,1413
12065,1412,1415
12066,1421,1424
12067,1421,1422
12068,1427,1430
12069,1427,1428
12070,1436,1437
12071,1436,1439
12072,1438,1419
12073,1438,1417
12074,1440,1432
12075,1416,1434
12076,1414,1419
12077,1414,1432
12078,1423,1417
12079,1425,1434
12080,1425,1432
12081,1431,1419
12082,1429,1417
12083,1429,1434
12084,1405,1411
12085,1407,1411
12086,1405,1408
12087,1418,1389
12088,1396,1404
12089,1410,1404
12090,1396,1441
12091,1418,1445
12092,1444,1389
12093,1304,1447
12094,1382,1449
12095,1357,1305
12096,1448,1383
12099,1442,1358
12102,1353,1364
12103,1357,1372
12104,1371,1354
12105,1359,1362
12106,1365,1360
12107,1369,1370
12108,1373,1366
12109,1367,1362
12110,1365,1368
12111,1359,1368
12112,1367,1360
12113,1371,1383
12114,1450,1305
12115,1357,1383
12116,1450,1354
12117,1371,1305
12118,1448,1354
12119,1448,1372
12121,1452,1356
12122,1454,1368
12123,1367,1457
12124,1365,1457
12125,1454,1360
12126,1454,1362
12127,1359,1457
12128,1456,1453
12130,1450,1372
12137,1578,1273
12138,1276,1700
12139,1280,1571
12140,1707,1277
12158,1461,1462
12159,1461,1464
12160,1470,1471
12161,1470,1473
12162,1475,1478
12163,1475,1476
12164,1486,1468
12165,1465,1482
12166,1484,1485
12167,1486,1466
12168,1488,1480
12169,1484,1487
12170,1463,1468
12171,1463,1480
12172,1472,1466
12173,1479,1468
12174,1474,1480
12175,1474,1482
12176,1477,1466
12177,1477,1482
12178,1489,1460
12179,1491,1460
12180,1489,1492
12193,1451,1513
12513,1494,1501
12514,1494,1495
12515,1498,1507
12516,1498,1499
12517,1508,1503
12518,1500,1511
12519,1502,1505
12520,1496,1515
12634,1510,1505
12636,1502,1511
12637,1510,1503
12647,1514,1511
12648,1510,1515
12649,1508,1515
12650,1514,1503
12651,1514,1505
12652,1518,1519
12653,1518,1521
12654,1527,1530
12655,1527,1528
12656,1533,1536
12657,1533,1534
12658,1543,1544
12659,1543,1546
12660,1545,1525
12661,1545,1523
12662,1547,1538
12663,1522,1540
12664,1520,1525
12665,1520,1538
12666,1529,1523
12667,1531,1540
12668,1531,1538
12669,1537,1525
12670,1535,1523
12671,1535,1540
12672,1557,1558
12673,1557,1560
12674,1566,1569
12675,1566,1567
12676,1572,1575
12677,1572,1573
12678,1581,1582
12679,1581,1584
12680,1583,1564
12681,1583,1562
12682,1585,1577
12683,1561,1579
12684,1559,1564
12685,1559,1577
12686,1568,1562
12687,1570,1579
12688,1570,1577
12689,1576,1564
12690,1574,1562
12691,1574,1579
12692,1549,1556
12693,1551,1556
12694,1549,1552
12695,1563,1532
12696,1539,1548
12697,1555,1548
12698,1539,1586
12699,1563,1589
12700,1588,1532
12701,1612,1613
12702,1612,1615
12703,1622,1625
12704,1622,1623
12705,1628,1631
12706,1628,1629
12707,1638,1639
12708,1638,1641
12709,1640,1619
12710,1640,1617
12711,1642,1633
12712,1616,1635
12713,1614,1619
12714,1614,1633
12715,1624,1617
12716,1626,1635
12717,1626,1633
12718,1632,1619
12719,1630,1617
12720,1630,1635
12721,1651,1652
12722,1651,1654
12723,1660,1663
12724,1660,1661
12725,1665,1668
12726,1665,1666
12727,1675,1676
12728,1675,1678
12729,1677,1658
12730,1677,1656
12731,1679,1670
12732,1655,1672
12733,1653,1658
12734,1653,1670
12735,1662,1656
12736,1664,1672
12737,1664,1670
12738,1669,1658
12739,1667,1656
12740,1667,1672
12741,1644,1650
