,total_vehicle,weighted_density,weighted_flow
0,444,1.837885273,24.4854004
1,829,3.431547052,62.81857092
2,1110,4.594713182,97.61808413
3,1378,5.704067356,116.1032858
4,1482,6.134563006,154.425429
5,1610,6.664403805,150.7771771
6,1380,5.712346119,145.9892376
7,1134,4.694058332,128.1384044
8,967,4.002781664,99.04716411
9,818,3.386013859,100.5634195
10,733,3.034166453,76.93665919
11,667,2.760967291,72.93061569
12,650,2.690597809,66.10068631
13,584,2.417398647,73.11688785
14,611,2.529161941,63.46605293
15,650,2.690597809,66.45177207
16,646,2.674040284,69.34614334
17,655,2.711294716,62.13875206
18,722,2.988633259,76.31242394
19,789,3.265971803,72.74032006
20,803,3.32392314,82.72868012
21,835,3.45638334,81.06668543
22,818,3.386013859,94.09619922
23,826,3.419128909,87.58218741
24,876,3.626097971,87.80288267
25,902,3.733721883,96.79625138
26,949,3.928272802,85.89098526
27,996,4.12282372,110.5744302
28,1010,4.180775058,95.36597925
29,1026,4.247005158,106.9763972
30,1152,4.768567195,105.7516206
31,1134,4.694058332,129.203583
32,1133,4.689918951,117.6423409
33,1188,4.917584919,118.3519633
34,1236,5.116275219,125.6957058
35,1279,5.294268613,118.8814233
36,1327,5.492958913,142.0124016
37,1368,5.662673544,131.4992011
38,1379,5.708206737,145.5588744
39,1393,5.766158075,129.7300627
40,1350,5.588164681,149.3488422
41,1348,5.579885919,137.9626959
42,1398,5.786854981,143.2108021
43,1477,6.113866099,145.1332798
44,1553,6.428459074,141.6386651
45,1597,6.610591849,168.708927
46,1643,6.801003386,154.4297506
47,1595,6.602313086,170.2749543
48,1658,6.863094105,150.4298168
49,1608,6.656125042,175.8516446
50,1696,7.020390592,163.1787302
51,1744,7.219080892,170.9060443
52,1840,7.616461491,172.8271808
53,1864,7.715806641,174.022452
54,1925,7.968308897,199.8451375
55,2014,8.336713828,182.3719151
56,1993,8.249786822,203.3932495
57,2074,8.585076703,182.715699
58,2003,8.291180634,212.7004495
59,2050,8.485731553,199.0414849
60,2111,8.738233809,204.8747837
61,2170,8.982457302,206.3125067
62,2157,8.928645346,196.5186148
63,2151,8.903809059,223.8581517
64,2135,8.837578959,195.5066354
65,2130,8.816882052,214.8844533
66,2241,9.276353371,194.5439809
67,2164,8.957621015,233.7615716
68,2241,9.276353371,215.2045434
69,2293,9.491601195,223.0187348
70,2327,9.632340158,228.4417879
71,2361,9.77307912,208.4811617
72,2449,10.13734467,239.7742878
73,2517,10.41882259,227.5354621
74,2576,10.66304609,253.6511164
75,2630,10.88657268,226.7248057
76,2537,10.50161022,265.4624103
77,2551,10.55956156,234.209817
78,2593,10.73341557,252.8128917
79,2678,11.08526297,248.5114951
80,2728,11.29223204,235.6333833
81,2832,11.72272769,266.9433484
82,2871,11.88416356,248.6837596
83,2935,12.14908395,279.0145292
84,3007,12.4471194,247.8488132
85,2909,12.04146004,293.8866472
86,3020,12.50093136,264.4854501
87,2950,12.21117467,281.8473562
88,3053,12.63753094,271.9089171
89,3111,12.87761505,266.2490748
90,3204,13.26257751,295.0121781
91,3323,13.75516388,267.587403
92,3371,13.95385418,310.035847
93,3450,14.2808653,275.313227
94,3432,14.20635643,321.688139
95,3438,14.23119272,292.6898858
96,3413,14.12770819,315.5830318
97,3516,14.55406446,303.1992119
98,3576,14.80242733,290.0400527
99,3622,14.99283887,331.5197324
100,3664,15.16669288,286.125208
101,3666,15.17497165,337.602636
102,3806,15.75448502,291.7983128
103,3738,15.47300709,342.8002252
104,3794,15.70481244,315.3055608
105,3690,15.2743168,326.0926559
106,3810,15.77104254,323.0990388
107,3807,15.7586244,301.0737721
108,3850,15.93661779,340.8576301
109,3969,16.42920416,294.5554387
110,4013,16.61133694,360.0427681
111,4150,17.17843217,303.7714399
112,4091,16.93420867,367.2288498
113,4221,17.47232824,337.7667045
114,4222,17.47646762,364.2143703
115,4369,18.08495666,351.3891598
116,4287,17.7455274,330.6646687
117,4321,17.88626636,371.2608224
118,4448,18.41196778,322.6829813
119,4514,18.68516694,378.4357278
120,4695,19.43439495,322.789678
121,4610,19.08254754,400.203641
122,4676,19.3557467,352.2022005
123,4634,19.18189269,372.9265425
124,4786,19.81107864,363.0638044
125,4750,19.66206092,341.1981356
126,4830,19.99321141,379.0373124
127,4929,20.40301016,328.16132
128,4947,20.47751902,399.7474977
129,5071,20.99080229,327.5658451
130,5154,21.33437094,403.5279284
131,5234,21.66552144,365.7269002
132,5218,21.59929134,386.9762317
133,5471,22.64655479,374.6353288
134,5481,22.68794861,361.0276262
