Index,"Common node ID,(named swift nodes in GAMS codes)"
0,2
1,3
2,12
3,15
4,17
5,18
6,19
7,24
8,26
9,28
10,29
11,33
12,34
13,41
14,42
15,43
16,48
17,52
18,55
19,57
20,58
21,63
22,65
23,66
24,67
25,75
26,77
27,78
28,80
29,86
30,88
31,91
32,92
33,95
34,97
35,98
36,105
37,107
38,110
39,112
40,113
41,114
42,119
43,121
44,122
45,123
46,127
47,128
48,134
49,135
50,136
51,141
52,143
53,144
54,147
55,149
56,150
57,155
58,157
59,158
60,159
61,164
62,169
63,171
64,175
65,176
66,179
67,181
68,191
69,192
70,197
71,201
72,204
73,206
74,207
75,208
76,213
77,215
78,217
79,218
80,222
81,223
82,230
83,231
84,232
85,237
86,241
87,244
88,247
89,248
90,255
91,256
92,257
93,265
94,267
95,268
96,270
97,276
98,278
99,281
100,282
101,285
102,286
103,287
104,292
105,294
106,296
107,299
108,301
109,302
110,303
111,308
112,310
113,311
114,312
115,316
116,317
117,323
118,324
119,325
120,330
121,332
122,333
123,336
124,339
125,340
126,347
127,348
128,349
129,354
130,359
131,361
132,363
133,364
134,365
135,368
136,370
137,372
138,373
139,374
140,379
141,381
142,382
143,385
144,387
145,388
146,393
147,395
148,396
149,397
150,401
151,406
152,407
153,410
154,413
155,416
156,419
157,425
158,428
159,430
160,431
161,438
162,439
163,442
164,444
165,445
166,446
167,451
168,453
169,455
170,456
171,460
172,461
173,468
174,469
175,470
176,475
177,477
178,478
179,481
180,483
181,484
182,485
183,490
184,492
185,493
186,494
187,502
188,504
189,505
190,507
191,513
192,515
193,518
194,519
195,522
196,524
197,525
198,532
199,534
200,537
201,539
202,540
203,541
204,546
205,550
206,551
207,555
208,556
209,562
210,563
211,564
212,569
213,571
214,572
215,575
216,577
217,578
218,583
219,587
220,588
221,593
222,598
223,600
224,604
225,605
226,608
227,610
228,612
229,613
230,614
231,619
232,621
233,622
234,625
235,627
236,628
237,629
238,634
239,636
240,638
241,639
242,643
243,644
244,651
245,652
246,653
247,658
248,660
249,661
250,664
251,667
252,668
253,675
254,676
255,677
256,685
257,687
258,688
259,690
260,696
261,698
262,701
263,702
264,705
265,706
266,707
267,712
268,714
269,716
270,719
271,721
272,722
273,723
274,728
275,732
276,733
277,737
278,738
279,744
280,745
281,746
282,751
283,753
284,754
285,757
286,760
287,761
288,770
289,771
290,776
291,781
292,783
293,785
294,786
295,787
296,790
297,792
298,794
299,795
300,796
301,801
302,803
303,804
304,807
305,809
306,810
307,815
308,819
309,820
310,824
311,829
312,830
313,833
314,836
315,839
316,842
317,848
318,851
319,852
320,853
321,854
322,859
323,861
324,862
325,865
326,867
327,868
328,873
329,877
330,878
331,882
332,887
333,888
334,889
335,894
336,896
337,897
338,900
339,902
340,903
341,908
342,910
343,911
344,912
345,916
346,921
347,922
348,923
349,928
350,930
351,931
352,934
353,936
354,937
355,942
356,944
357,945
358,946
359,950
360,955
361,956
362,957
363,962
364,966
365,969
366,971
367,972
368,977
369,979
370,980
371,981
372,985
373,990
374,991
375,992
376,997
377,999
378,1000
379,1003
380,1005
381,1006
382,1011
383,1015
384,1016
385,1020
386,1025
387,1026
388,1031
389,1035
390,1038
391,1040
392,1041
393,1046
394,1050
395,1051
