Index,Diverge node ID
0,1025
1,2
2,1035
3,12
4,524
5,1040
6,18
7,534
8,24
9,1050
10,28
11,540
12,34
13,546
14,550
15,42
16,556
17,48
18,563
19,52
20,57
21,569
22,572
23,577
24,66
25,587
26,97
27,613
28,107
29,619
30,622
31,113
32,628
33,119
34,122
35,634
36,638
37,128
38,644
39,135
40,652
41,141
42,144
43,658
44,149
45,661
46,667
47,158
48,676
49,191
50,706
51,201
52,716
53,207
54,722
55,213
56,728
57,217
58,732
59,223
60,738
61,231
62,745
63,237
64,751
65,241
66,754
67,247
68,760
69,256
70,770
71,795
72,286
73,804
74,296
75,809
76,302
77,819
78,308
79,311
80,824
81,317
82,829
83,833
84,324
85,330
86,333
87,339
88,853
89,348
90,862
91,867
92,877
93,882
94,373
95,888
96,382
97,897
98,387
99,902
100,396
101,911
102,401
103,916
104,406
105,410
106,922
107,931
108,936
109,430
110,945
111,950
112,439
113,956
114,445
115,451
116,966
117,455
118,971
119,461
120,980
121,469
122,985
123,475
124,478
125,991
126,484
127,1000
128,490
129,493
130,1005
131,1015
132,1020
