Link_ID in VISSIM,Starting node ID,Ending node ID
10000,2,3
10001,2,5
10002,12,15
10003,12,13
10004,18,21
10005,18,19
10006,28,29
10007,28,31
10008,30,9
10009,30,7
10010,32,23
10011,6,25
10012,4,9
10013,4,23
10014,14,7
10015,16,25
10016,16,23
10017,22,9
10018,20,7
10019,20,25
10020,42,43
10021,42,45
10022,52,55
10023,52,53
10024,57,60
10025,57,58
10026,66,67
10027,66,69
10028,68,49
10029,68,47
10030,70,62
10031,46,64
10032,44,49
10033,44,62
10034,54,47
10035,56,64
10036,56,62
10037,61,49
10038,59,47
10039,59,64
10040,34,41
10041,36,41
10042,34,37
10043,48,17
10044,24,33
10045,40,33
10046,24,71
10047,48,74
10048,73,17
10049,97,98
10050,97,100
10051,107,110
10052,107,108
10053,113,116
10054,113,114
10055,122,123
10056,122,125
10057,124,104
10058,124,102
10059,126,118
10060,101,120
10061,99,104
10062,99,118
10063,109,102
10064,111,120
10065,111,118
10066,117,104
10067,115,102
10068,115,120
10069,135,136
10070,135,138
10071,144,147
10072,144,145
10073,149,152
10074,149,150
10075,158,159
10076,158,161
10077,160,142
10078,160,140
10079,162,154
10080,139,156
10081,137,142
10082,137,154
10083,146,140
10084,148,156
10085,148,154
10086,153,142
10087,151,140
10088,151,156
10089,128,134
10090,130,134
10091,128,131
10092,141,112
10093,119,127
10094,133,127
10095,119,163
10096,141,167
10097,166,112
10098,26,169
10099,105,171
10100,79,27
10101,170,106
10104,164,80
10107,75,86
10108,79,94
10109,93,76
10110,81,84
10111,87,82
10112,91,92
10113,95,88
10114,89,84
10115,87,90
10116,81,90
10117,89,82
10118,93,106
10119,172,27
10120,79,106
10121,172,76
10122,93,27
10123,170,76
10124,170,94
10126,175,78
10127,177,90
10128,89,180
10129,87,180
10130,177,82
10131,177,84
10132,81,180
10133,179,176
10135,172,94
10136,191,192
10137,191,194
10138,201,204
10139,201,202
10140,207,210
10141,207,208
10142,217,218
10143,217,220
10144,219,198
10145,219,196
10146,221,212
10147,195,214
10148,193,198
10149,193,212
10150,203,196
10151,205,214
10152,205,212
10153,211,198
10154,209,196
10155,209,214
10156,231,232
10157,231,234
10158,241,244
10159,241,242
10160,247,250
10161,247,248
10162,256,257
10163,256,259
10164,258,238
10165,258,236
10166,260,252
10167,235,254
10168,233,238
10169,233,252
10170,243,236
10171,245,254
10172,245,252
10173,251,238
10174,249,236
10175,249,254
10176,223,230
10177,225,230
10178,223,226
10179,237,206
10180,213,222
10181,229,222
10182,213,261
10183,237,264
10184,263,206
10185,286,287
10186,286,289
10187,296,299
10188,296,297
10189,302,305
10190,302,303
10191,311,312
10192,311,314
10193,313,293
10194,313,291
10195,315,307
10196,290,309
10197,288,293
10198,288,307
10199,298,291
10200,300,309
10201,300,307
10202,306,293
10203,304,291
10204,304,309
10205,324,325
10206,324,327
10207,333,336
10208,333,334
10209,339,342
10210,339,340
10211,348,349
10212,348,351
10213,350,331
10214,350,329
10215,352,344
10216,328,346
10217,326,331
10218,326,344
10219,335,329
10220,337,346
10221,337,344
10222,343,331
10223,341,329
10224,341,346
10225,317,323
10226,319,323
10227,317,320
10228,330,301
10229,308,316
10230,322,316
10231,308,353
10232,330,357
10233,356,301
10234,215,359
10235,294,361
10236,269,216
10237,360,295
10240,354,270
10243,265,276
10244,269,284
10245,283,266
10246,271,274
10247,277,272
10248,281,282
10249,285,278
10250,279,274
10251,277,280
10252,271,280
10253,279,272
10254,283,295
10255,362,216
10256,269,295
10257,362,266
10258,283,216
10259,360,266
10260,360,284
10262,364,268
10263,366,280
10264,279,369
10265,277,369
10266,366,272
10267,366,274
10268,271,369
10269,368,365
10271,362,284
10278,490,183
10279,186,612
10280,190,483
10281,619,187
10299,373,374
10300,373,376
10301,382,383
10302,382,385
10303,387,390
10304,387,388
10305,398,380
10306,377,394
10307,396,397
10308,398,378
10309,400,392
10310,396,399
10311,375,380
10312,375,392
10313,384,378
10314,391,380
10315,386,392
10316,386,394
10317,389,378
10318,389,394
10319,401,372
10320,403,372
10321,401,404
10334,363,425
10654,406,413
10655,406,407
10656,410,419
10657,410,411
10658,420,415
10659,412,423
10660,414,417
10661,408,427
10775,422,417
10777,414,423
10778,422,415
10788,426,423
10789,422,427
10790,420,427
10791,426,415
10792,426,417
10793,430,431
10794,430,433
10795,439,442
10796,439,440
10797,445,448
10798,445,446
10799,455,456
10800,455,458
10801,457,437
10802,457,435
10803,459,450
10804,434,452
10805,432,437
10806,432,450
10807,441,435
10808,443,452
10809,443,450
10810,449,437
10811,447,435
10812,447,452
10813,469,470
10814,469,472
10815,478,481
10816,478,479
10817,484,487
10818,484,485
10819,493,494
10820,493,496
10821,495,476
10822,495,474
10823,497,489
10824,473,491
10825,471,476
10826,471,489
10827,480,474
10828,482,491
10829,482,489
10830,488,476
10831,486,474
10832,486,491
10833,461,468
10834,463,468
10835,461,464
10836,475,444
10837,451,460
10838,467,460
10839,451,498
10840,475,501
10841,500,444
10842,524,525
10843,524,527
10844,534,537
10845,534,535
10846,540,543
10847,540,541
10848,550,551
10849,550,553
10850,552,531
10851,552,529
10852,554,545
10853,528,547
10854,526,531
10855,526,545
10856,536,529
10857,538,547
10858,538,545
10859,544,531
10860,542,529
10861,542,547
10862,563,564
10863,563,566
10864,572,575
10865,572,573
10866,577,580
10867,577,578
10868,587,588
10869,587,590
10870,589,570
10871,589,568
10872,591,582
10873,567,584
10874,565,570
10875,565,582
10876,574,568
10877,576,584
10878,576,582
10879,581,570
10880,579,568
10881,579,584
10882,556,562
10883,558,562
10884,556,559
10885,569,539
10886,546,555
10887,561,555
10888,546,592
10889,569,596
10890,595,539
10891,453,598
10892,532,600
10893,506,454
10894,599,533
10897,593,507
10900,502,513
10901,506,521
10902,520,503
10903,508,511
10904,514,509
10905,518,519
10906,522,515
10907,516,511
10908,514,517
10909,508,517
10910,516,509
10911,520,533
10912,601,454
10913,506,533
10914,601,503
10915,520,454
10916,599,503
10917,599,521
10919,604,505
10920,606,517
10921,516,609
10922,514,609
10923,606,509
10924,606,511
10925,508,609
10926,608,605
10928,601,521
10929,613,614
10930,613,616
10931,622,625
10932,622,623
10933,628,631
10934,628,629
10935,638,639
10936,638,641
10937,640,620
10938,640,618
10939,642,633
10940,617,635
10941,615,620
10942,615,633
10943,624,618
10944,626,635
10945,626,633
10946,632,620
10947,630,618
10948,630,635
10949,652,653
10950,652,655
10951,661,664
10952,661,662
10953,667,670
10954,667,668
10955,676,677
10956,676,679
10957,678,659
10958,678,657
10959,680,672
10960,656,674
10961,654,659
10962,654,672
10963,663,657
10964,665,674
10965,665,672
10966,671,659
10967,669,657
10968,669,674
10969,644,651
10970,646,651
10971,644,647
10972,658,627
10973,634,643
10974,650,643
10975,634,681
10976,658,684
10977,683,627
10978,706,707
10979,706,709
10980,716,719
10981,716,717
10982,722,725
10983,722,723
10984,732,733
10985,732,735
10986,734,713
10987,734,711
10988,736,727
10989,710,729
10990,708,713
10991,708,727
10992,718,711
10993,720,729
10994,720,727
10995,726,713
10996,724,711
10997,724,729
10998,745,746
10999,745,748
11000,754,757
11001,754,755
11002,760,763
11003,760,761
11004,770,771
11005,770,773
11006,772,752
11007,772,750
11008,774,765
11009,749,767
11010,747,752
11011,747,765
11012,756,750
11013,758,767
11014,758,765
11015,764,752
11016,762,750
11017,762,767
11018,738,744
11019,740,744
11020,738,741
11021,751,721
11022,728,737
11023,743,737
11024,728,775
11025,751,779
11026,778,721
11027,636,781
11028,714,783
11029,689,637
11030,782,715
11033,776,690
11036,685,696
11037,689,704
11038,703,686
11039,691,694
11040,697,692
11041,701,702
11042,705,698
11043,699,694
11044,697,700
11045,691,700
11046,699,692
11047,703,715
11048,784,637
11049,689,715
11050,784,686
11051,703,637
11052,782,686
11053,782,704
11055,786,688
11056,788,700
11057,699,791
11058,697,791
11059,788,692
11060,788,694
11061,691,791
11062,790,787
11064,784,704
11067,619,483
11068,490,612
11092,795,796
11093,795,798
11094,804,805
11095,804,807
11096,809,812
11097,809,810
11098,821,802
11099,799,816
11100,819,820
11101,821,800
11102,823,814
11103,819,822
11104,797,802
11105,797,814
11106,806,800
11107,813,802
11108,808,814
11109,808,816
11110,811,800
11111,811,816
11112,824,794
11113,826,794
11114,824,827
11127,785,848
11447,829,836
11448,829,830
11449,833,842
11450,833,834
11451,843,838
11452,835,846
11453,837,840
11454,831,850
11568,845,840
11570,837,846
11571,845,838
11581,849,846
11582,845,850
11583,843,850
11584,849,838
11585,849,840
11724,853,854
11725,853,856
11726,862,865
11727,862,863
11728,867,870
11729,867,868
11730,877,878
11731,877,880
11732,879,860
11733,879,858
11734,881,872
11735,857,874
11736,855,860
11737,855,872
11738,864,858
11739,866,874
11740,866,872
11741,871,860
11742,869,858
11743,869,874
11744,882,852
11745,884,852
11746,882,885
11747,888,889
11748,888,891
11749,897,900
11750,897,898
11751,902,905
11752,902,903
11753,911,912
11754,911,914
11755,913,895
11756,913,893
11757,915,907
11758,892,909
11759,890,895
11760,890,907
11761,899,893
11762,901,909
11763,901,907
11764,906,895
11765,904,893
11766,904,909
11767,916,887
11768,918,887
11769,916,919
11770,922,923
11771,922,925
11772,931,934
11773,931,932
11774,936,939
11775,936,937
11776,945,946
11777,945,948
11778,947,929
11779,947,927
11780,949,941
11781,926,943
11782,924,929
11783,924,941
11784,933,927
11785,935,943
11786,935,941
11787,940,929
11788,938,927
11789,938,943
11790,950,921
11791,952,921
11792,950,953
11793,956,957
11794,956,959
11795,966,969
11796,966,967
11797,971,974
11798,971,972
11799,980,981
11800,980,983
11801,982,963
11802,982,961
11803,984,976
11804,960,978
11805,958,963
11806,958,976
11807,968,961
11808,970,978
11809,970,976
11810,975,963
11811,973,961
11812,973,978
11813,985,955
11814,987,955
11815,985,988
11816,991,992
11817,991,994
11818,1000,1001
11819,1000,1003
11820,1005,1008
11821,1005,1006
11822,1017,998
11823,995,1012
11824,1015,1016
11825,1017,996
11826,1019,1010
11827,1015,1018
11828,993,998
11829,993,1010
11830,1002,996
11831,1009,998
11832,1004,1010
11833,1004,1012
11834,1007,996
11835,1007,1012
11836,1020,990
11837,1022,990
11838,1020,1023
11839,1025,1026
11840,1025,1028
11841,1035,1036
11842,1035,1038
11843,1040,1043
11844,1040,1041
11845,1052,1032
11846,1029,1047
11847,1050,1051
11848,1052,1030
11849,1054,1045
11850,1050,1053
11851,1027,1032
11852,1027,1045
11853,1037,1030
11854,1044,1032
11855,1039,1045
11856,1039,1047
11857,1042,1030
11858,1042,1047
