Link_ID in VISSIM,Length(km),Green_ratio,Lanes
1,0.345,1.0,3
2,0.151,0.33,2
3,0.151,0.17,1
4,0.503,1.0,3
5,0.381,1.0,3
6,0.212,1.0,3
7,0.152,0.17,1
8,0.152,0.33,2
9,0.341,1.0,3
10,0.157,0.33,2
11,0.155,0.17,1
12,0.493,1.0,3
13,0.142,1.0,3
14,0.093,1.0,3
15,0.159,0.33,2
16,0.158,0.17,1
17,0.203,1.0,3
18,0.062,1.0,1
19,0.061,1.0,1
20,0.035,1.0,1
21,0.14,1.0,3
22,0.151,0.33,2
23,0.151,0.17,1
24,0.511,1.0,3
25,0.381,1.0,3
26,0.212,1.0,3
27,0.152,0.17,1
28,0.152,0.33,2
29,0.346,1.0,3
30,0.157,0.33,2
31,0.155,0.17,1
32,0.503,1.0,3
33,0.28,1.0,3
34,0.117,1.0,3
35,0.159,0.33,2
36,0.158,0.17,1
37,0.039,1.0,1
38,0.102,1.0,1
39,0.102,1.0,1
40,0.192,1.0,1
41,0.188,0.33,1
42,0.179,0.5,1
43,0.187,1.0,1
44,0.14,1.0,1
45,0.138,0.5,1
46,0.118,0.5,1
47,0.119,1.0,1
48,0.36,0.33,1
49,0.365,1.0,1
50,0.345,1.0,3
51,0.151,0.33,2
52,0.151,0.17,1
53,0.503,1.0,3
54,0.177,1.0,3
55,0.231,1.0,3
56,0.152,0.17,1
57,0.152,0.33,2
58,0.341,1.0,3
59,0.157,0.33,2
60,0.155,0.17,1
61,0.493,1.0,3
62,0.512,1.0,3
63,0.348,1.0,3
64,0.159,0.33,2
65,0.158,0.17,1
66,0.203,1.0,3
67,0.062,1.0,1
68,0.061,1.0,1
69,0.201,1.0,1
70,0.14,1.0,3
71,0.151,0.33,2
72,0.151,0.17,1
73,0.511,1.0,3
74,0.382,1.0,3
75,0.217,1.0,3
76,0.152,0.17,1
77,0.152,0.33,2
78,0.346,1.0,3
79,0.157,0.33,2
80,0.155,0.17,1
81,0.503,1.0,3
82,0.512,1.0,3
83,0.348,1.0,3
84,0.159,0.33,2
85,0.158,0.17,1
86,0.207,1.0,1
87,0.043,1.0,1
88,0.042,1.0,1
89,0.11,0.67,3
90,0.211,0.67,3
91,0.355,1.0,1
92,0.343,1.0,1
93,0.086,0.5,1
94,0.114,1.0,1
95,0.086,1.0,1
96,0.113,1.0,1
10000,0.012,1.0,2
10001,0.009,1.0,1
10002,0.016,1.0,2
10003,0.015,1.0,1
10004,0.006,1.0,1
10005,0.004,1.0,2
10006,0.012,1.0,2
10007,0.007,1.0,1
10008,0.036,1.0,2
10009,0.009,1.0,1
10010,0.028,1.0,1
10011,0.03,1.0,1
10012,0.011,1.0,1
10013,0.03,1.0,2
10014,0.029,1.0,1
10015,0.033,1.0,2
10016,0.014,1.0,1
10017,0.027,1.0,1
10018,0.03,1.0,2
10019,0.01,1.0,1
10020,0.013,1.0,2
10021,0.009,1.0,1
10022,0.016,1.0,2
10023,0.015,1.0,1
10024,0.006,1.0,1
10025,0.004,1.0,2
10026,0.012,1.0,2
10027,0.007,1.0,1
10028,0.036,1.0,2
10029,0.009,1.0,1
10030,0.028,1.0,1
10031,0.029,1.0,1
10032,0.011,1.0,1
10033,0.03,1.0,2
10034,0.029,1.0,1
10035,0.031,1.0,2
10036,0.014,1.0,1
10037,0.027,1.0,1
10038,0.03,1.0,2
10039,0.008,1.0,1
10040,0.007,1.0,3
10041,0.011,1.0,1
10042,0.014,1.0,1
10043,0.003,1.0,3
10044,0.02,1.0,3
10045,0.013,1.0,1
10046,0.013,1.0,1
10047,0.012,1.0,1
10048,0.014,1.0,1
10049,0.012,1.0,2
10050,0.009,1.0,1
10051,0.016,1.0,2
10052,0.015,1.0,1
10053,0.006,1.0,1
10054,0.004,1.0,2
10055,0.012,1.0,2
10056,0.007,1.0,1
10057,0.036,1.0,2
10058,0.009,1.0,1
10059,0.028,1.0,1
10060,0.029,1.0,1
10061,0.011,1.0,1
10062,0.03,1.0,2
10063,0.029,1.0,1
10064,0.031,1.0,2
10065,0.014,1.0,1
10066,0.027,1.0,1
10067,0.03,1.0,2
10068,0.008,1.0,1
10069,0.013,1.0,2
10070,0.009,1.0,1
10071,0.016,1.0,2
10072,0.015,1.0,1
10073,0.006,1.0,1
10074,0.004,1.0,2
10075,0.012,1.0,2
10076,0.007,1.0,1
10077,0.036,1.0,2
10078,0.009,1.0,1
10079,0.028,1.0,1
10080,0.029,1.0,1
10081,0.011,1.0,1
10082,0.03,1.0,2
10083,0.029,1.0,1
10084,0.031,1.0,2
10085,0.014,1.0,1
10086,0.027,1.0,1
10087,0.03,1.0,2
10088,0.008,1.0,1
10089,0.007,1.0,3
10090,0.011,1.0,1
10091,0.014,1.0,1
10092,0.003,1.0,3
10093,0.02,1.0,3
10094,0.013,1.0,1
10095,0.013,1.0,1
10096,0.012,1.0,1
10097,0.014,1.0,1
10098,0.008,1.0,3
10099,0.011,1.0,3
10100,0.012,1.0,1
10101,0.019,1.0,3
10102,0.009,,3
10103,0.01,,3
10104,0.026,1.0,1
10105,0.012,,1
10106,0.015,,1
10107,0.02,1.0,1
10108,0.029,1.0,1
10109,0.029,1.0,1
10110,0.015,1.0,1
10111,0.016,1.0,1
10112,0.01,1.0,1
10113,0.006,1.0,1
10114,0.011,1.0,1
10115,0.02,1.0,1
10116,0.008,1.0,1
10117,0.022,1.0,1
10118,0.008,1.0,1
10119,0.018,1.0,3
10120,0.026,1.0,1
10121,0.009,1.0,1
10122,0.022,1.0,1
10123,0.025,1.0,1
10124,0.006,1.0,1
10125,0.013,,1
10126,0.02,1.0,1
10127,0.018,1.0,1
10128,0.019,1.0,1
10129,0.006,1.0,1
10130,0.007,1.0,1
10131,0.019,1.0,1
10132,0.017,1.0,1
10133,0.006,1.0,1
10134,0.005,,1
10135,0.021,1.0,1
