Link_ID in VISSIM,Starting node ID,Ending node ID
1,1,2
2,3,4
3,5,6
4,7,8
5,9,10
6,11,12
7,13,14
8,15,16
9,17,18
10,19,20
11,21,22
12,23,24
13,25,26
14,27,28
15,29,30
16,31,32
17,33,34
18,35,36
19,37,38
20,39,40
21,41,42
22,43,44
23,45,46
24,47,48
25,49,50
26,51,52
27,53,54
28,55,56
29,57,58
30,59,60
31,61,62
32,63,64
33,65,66
34,145,67
35,68,69
36,70,71
37,72,73
38,86,74
39,75,76
40,77,78
41,79,80
42,81,82
43,83,84
44,85,86
45,87,88
46,89,90
47,91,92
48,93,94
49,95,96
50,97,98
51,99,100
52,101,102
53,103,104
54,105,106
55,107,108
56,109,110
57,111,112
58,113,114
59,115,116
60,117,118
61,119,120
62,121,122
63,123,124
64,125,126
65,127,128
66,129,130
67,131,132
68,133,134
69,84,135
70,136,137
71,138,139
72,140,141
73,142,143
74,144,145
75,66,146
76,147,148
77,149,150
78,151,152
79,153,154
80,155,156
81,157,158
82,159,160
83,161,162
84,163,164
85,165,166
86,167,168
87,169,170
88,171,172
89,173,174
90,175,176
91,78,177
92,178,179
93,180,181
94,182,183
95,184,185
96,185,186
