,moc
0.0,0.0
3.0,135.0
6.0,270.0
9.000000000000002,404.1666666666667
12.0,516.6666666666666
15.0,629.1666666666665
18.000000000000004,741.6666666666666
21.0,854.1666666666666
24.0,886.6666666666667
27.0,864.1666666666667
30.0,841.6666666666667
33.0,819.1666666666667
36.00000000000001,796.6666666666666
39.0,774.1666666666667
42.0,751.6666666666667
45.0,729.1666666666667
48.0,706.6666666666667
51.00000000000001,684.1666666666666
54.0,661.6666666666667
57.0,639.1666666666667
60.0,616.6666666666667
63.0,594.1666666666667
66.0,571.6666666666666
69.0,549.1666666666666
72.00000000000001,526.6666666666666
75.0,504.1666666666667
78.0,481.6666666666667
81.0,459.1666666666667
84.0,436.66666666666663
87.00000000000001,414.16666666666663
90.0,391.6666666666667
93.0,369.1666666666667
96.0,346.6666666666667
99.0,324.16666666666663
102.00000000000001,301.66666666666663
105.0,258.3333333333335
108.0,213.33333333333343
111.0,168.3333333333334
114.0,123.33333333333336
117.0,78.33333333333331
120.0,33.333333333333485
123.0,-13.611111111111152
126.0,-66.11111111111097
129.0,-118.61111111111117
132.0,-171.111111111111
135.0,-223.6111111111112
138.0,-276.1111111111114
141.0,-328.61111111111126
144.00000000000003,-381.1111111111114
147.0,-433.61111111111086
150.0,-486.1111111111111
153.0,-538.6111111111109
156.0,-591.1111111111111
159.0,-643.6111111111113
162.0,-696.1111111111111
165.0,-748.6111111111113
168.0,-801.1111111111112
171.0,-853.6111111111113
174.00000000000003,-906.1111111111115
177.0,-958.611111111111
180.0,-1011.1111111111112
183.0,-1063.611111111111
186.0,-1116.1111111111113
189.0,-1168.611111111111
192.0,-1221.1111111111113
195.0,-1273.611111111111
198.0,-1326.1111111111113
201.0,-1378.6111111111115
204.00000000000003,-1431.1111111111113
207.00000000000003,-1483.611111111111
210.0,-1536.1111111111113
213.0,-1588.6111111111109
216.0,-1641.1111111111109
219.0,-1693.611111111111
222.0,-1746.1111111111113
225.0,-1798.6111111111115
228.0,-1851.111111111111
231.0,-1903.6111111111113
234.0,-1956.1111111111115
237.00000000000003,-2008.6111111111118
240.0,-2061.111111111111
243.0,-2113.6111111111113
246.0,-2166.1111111111113
249.0,-2218.611111111111
252.0,-2271.1111111111113
255.0,-2323.6111111111113
258.0,-2376.1111111111118
261.0,-2428.6111111111118
264.0,-2481.1111111111113
267.0,-2533.6111111111113
270.0,-2586.1111111111118
273.0,-2638.6111111111118
276.0,-2691.111111111112
279.0,-2743.6111111111113
282.0,-2796.1111111111118
285.00000000000006,-2848.6111111111118
288.00000000000006,-2901.111111111112
291.0,-2953.611111111111
294.0,-3006.111111111111
297.0,-3058.6111111111113
