Link_ID in VISSIM,Length(km),Green_ratio,Lanes
1,0.063,0.5,1
2,0.125,1.0,1
3,0.055,1.0,1
4,0.024,0.5,1
5,0.027,0.5,1
6,0.062,1.0,1
7,0.066,0.5,1
8,0.065,1.0,1
9,0.06,1.0,1
10,0.031,1.0,1
11,0.03,1.0,1
12,0.04,1.0,1
13,0.062,0.5,1
14,0.062,1.0,1
15,0.051,1.0,1
16,0.025,0.5,1
17,0.019,0.5,1
18,0.061,1.0,1
19,0.066,0.5,1
20,0.065,1.0,1
21,0.025,1.0,1
22,0.04,1.0,1
23,0.029,1.0,1
24,0.032,1.0,1
25,0.062,0.5,1
26,0.062,1.0,1
27,0.051,1.0,1
28,0.021,0.5,1
29,0.02,0.5,1
30,0.061,1.0,1
31,0.066,0.5,1
32,0.065,1.0,1
33,0.028,1.0,1
34,0.077,1.0,1
37,0.062,0.5,1
38,0.062,1.0,1
39,0.051,1.0,1
40,0.021,0.5,1
41,0.027,0.5,1
42,0.061,1.0,1
43,0.059,0.5,1
44,0.135,1.0,1
10000,0.01,1.0,1
10001,0.012,1.0,1
10002,0.011,1.0,1
10003,0.01,1.0,1
10004,0.005,1.0,1
10005,0.005,1.0,1
10006,0.005,1.0,1
10007,0.004,1.0,1
10008,0.011,1.0,1
10009,0.011,1.0,1
10010,0.011,1.0,1
10011,0.012,1.0,1
10012,0.01,1.0,1
10013,0.012,1.0,1
10014,0.011,1.0,1
10015,0.01,1.0,1
10016,0.005,1.0,1
10017,0.005,1.0,1
10018,0.005,1.0,1
10019,0.004,1.0,1
10020,0.011,1.0,1
10021,0.011,1.0,1
10022,0.011,1.0,1
10023,0.012,1.0,1
10024,0.01,1.0,1
10025,0.012,1.0,1
10026,0.011,1.0,1
10027,0.01,1.0,1
10028,0.005,1.0,1
10029,0.005,1.0,1
10030,0.005,1.0,1
10031,0.004,1.0,1
10032,0.011,1.0,1
10033,0.011,1.0,1
10034,0.011,1.0,1
10035,0.012,1.0,1
10036,0.01,1.0,1
10037,0.012,1.0,1
10038,0.011,1.0,1
10039,0.01,1.0,1
10040,0.005,1.0,1
10041,0.005,1.0,1
10042,0.005,1.0,1
10043,0.004,1.0,1
10044,0.011,1.0,1
10045,0.011,1.0,1
10046,0.011,1.0,1
10047,0.012,1.0,1
10048,0.002,1.0,1
10049,0.002,1.0,1
10050,0.001,1.0,1
10051,0.001,1.0,1
10052,0.001,1.0,1
10053,0.0,1.0,1
10054,0.001,1.0,1
10055,0.003,1.0,1
10056,0.001,1.0,1
10057,0.002,1.0,1
10058,0.001,1.0,1
10059,0.001,1.0,1
10060,0.0,1.0,1
10061,0.002,1.0,1
10062,0.002,1.0,1
10063,0.001,1.0,1
