Link_ID in VISSIM,Starting node ID,Ending node ID
10000,14,3
10001,2,15
10002,10,5
10003,8,11
10004,2,5
10005,8,15
10006,14,11
10007,10,3
10008,2,11
10009,14,5
10010,8,3
10011,10,15
10012,38,27
10013,26,39
10014,34,29
10015,32,35
10016,26,29
10017,32,39
10018,38,35
10019,34,27
10020,26,35
10021,38,29
10022,32,27
10023,34,39
10024,62,51
10025,50,63
10026,58,53
10027,56,59
10028,50,53
10029,56,63
10030,62,59
10031,58,51
10032,50,59
10033,62,53
10034,56,51
10035,58,63
10036,82,71
10037,70,83
10038,78,73
10039,76,79
10040,70,73
10041,76,83
10042,82,79
10043,78,71
10044,70,79
10045,82,73
10046,76,71
10047,78,83
10048,28,13
10049,16,25
10050,52,37
10051,40,49
10052,72,61
10053,64,69
10054,18,1
10055,20,9
10056,22,7
10057,24,33
10058,42,31
10059,44,57
10060,46,55
10061,48,77
10062,66,75
10063,68,81
