Link_ID in VISSIM,Length(km),Green_ratio,Lanes
1,0.14,1.0,3
2,0.151,0.33,2
3,0.151,0.17,1
4,0.503,1.0,3
5,0.381,1.0,3
6,0.212,1.0,3
7,0.152,0.17,1
8,0.152,0.33,2
9,0.346,1.0,3
10,0.157,0.33,2
11,0.155,0.17,1
12,0.503,1.0,3
13,0.512,1.0,3
14,0.348,1.0,3
15,0.159,0.33,2
16,0.158,0.17,1
17,0.201,1.0,3
18,0.062,1.0,1
19,0.061,1.0,1
10000,0.013,1.0,2
10001,0.009,1.0,1
10002,0.016,1.0,2
10003,0.015,1.0,1
10004,0.006,1.0,1
10005,0.004,1.0,2
10006,0.012,1.0,2
10007,0.007,1.0,1
10008,0.036,1.0,2
10009,0.009,1.0,1
10010,0.028,1.0,1
10011,0.029,1.0,1
10012,0.011,1.0,1
10013,0.03,1.0,2
10014,0.029,1.0,1
10015,0.031,1.0,2
10016,0.014,1.0,1
10017,0.027,1.0,1
10018,0.03,1.0,2
10019,0.008,1.0,1
10020,0.007,1.0,3
10021,0.011,1.0,1
10022,0.014,1.0,1
