Link_ID in VISSIM,Starting node ID,Ending node ID
1,1,2
2,3,4
3,5,6
4,7,8
5,9,10
6,11,12
7,13,14
8,15,16
9,17,18
10,19,20
11,21,22
12,23,24
13,25,26
14,27,28
15,29,30
16,31,32
17,33,34
18,35,36
19,37,38
10000,2,3
10001,2,5
10002,12,15
10003,12,13
10004,18,21
10005,18,19
10006,28,29
10007,28,31
10008,30,9
10009,30,7
10010,32,23
10011,6,25
10012,4,9
10013,4,23
10014,14,7
10015,16,25
10016,16,23
10017,22,9
10018,20,7
10019,20,25
10020,34,1
10021,36,1
10022,34,37
